iter	Logloss
0	0.6630298306
1	0.6393274911
2	0.6167826208
3	0.5945441394
4	0.5743916956
5	0.5554517284
6	0.5346245618
7	0.5140076821
8	0.4978106197
9	0.4816307305
10	0.4662698497
11	0.4523660032
12	0.4367437327
13	0.4222130438
14	0.4098446295
15	0.3969067686
16	0.3834267563
17	0.3709990507
18	0.3610726114
19	0.3524795437
20	0.3442689505
21	0.3345018091
22	0.3273365092
23	0.3201604428
24	0.3130772751
25	0.3052311299
26	0.2986375323
27	0.2931759094
28	0.2875789666
29	0.2827260272
30	0.2773261977
31	0.270792024
32	0.2666553947
33	0.2610764024
34	0.2549996323
35	0.2513772337
36	0.2480200537
37	0.2430443047
38	0.2392392934
39	0.2349578668
40	0.2311183195
41	0.2285198709
42	0.2254950103
43	0.2223355311
44	0.2187663203
45	0.2162353516
46	0.2135814596
47	0.2111619274
48	0.2082821295
49	0.2066622716
50	0.2045721208
51	0.202600799
52	0.1998359633
53	0.197404243
54	0.1952044943
55	0.1932031857
56	0.1910676376
57	0.1888878864
58	0.1867217449
59	0.1853157754
60	0.183972585
61	0.1827569239
62	0.1813799746
63	0.1804397488
64	0.1793742494
65	0.1785080051
66	0.1771807368
67	0.1765092933
68	0.1750119606
69	0.1742888457
70	0.1730975228
71	0.1721913592
72	0.1710971998
73	0.1704097013
74	0.1693086423
75	0.1683721886
76	0.1679328682
77	0.1670844416
78	0.166097359
79	0.1650682343
80	0.1640915012
81	0.163494058
82	0.162628117
83	0.1623152265
84	0.1613564817
85	0.1604867876
86	0.1597776046
87	0.1591972778
88	0.1586851132
89	0.1578743502
90	0.1573926085
91	0.1567131848
92	0.1559763464
93	0.1552490993
94	0.1546034061
95	0.153864113
96	0.1533092617
97	0.1528509673
98	0.1524734213
99	0.1517930499
100	0.1513094695
101	0.1510393605
102	0.1503350678
103	0.1497359756
104	0.1492986738
105	0.1486973922
106	0.1483978556
107	0.1480238826
108	0.1476056591
109	0.147212731
110	0.1469249559
111	0.1464637519
112	0.14611987
113	0.1456988412
114	0.1453236076
115	0.1449909187
116	0.1446354457
117	0.1442624205
118	0.1440486553
119	0.143675431
120	0.1434563678
121	0.14316574
122	0.1429267836
123	0.1425926161
124	0.1422921696
125	0.1419611487
126	0.1416754586
127	0.1412786259
128	0.1410055788
129	0.1405962642
130	0.140393455
